iter	Passed	Remaining
0	50	412468
1	101	415038
2	151	413446
3	199	407892
4	254	417230
5	312	426917
6	362	423437
7	414	424049
8	470	427761
9	526	430729
10	580	431643
11	633	431688
12	675	425049
13	727	424951
14	782	426587
15	836	427444
16	889	427617
17	950	431503
18	1024	440845
19	1088	444812
20	1129	439356
21	1174	436029
22	1218	432795
23	1275	434169
24	1343	438915
25	1414	444259
26	1470	444712
27	1537	448247
28	1601	450665
29	1650	449100
30	1705	449001
31	1756	447797
32	1798	444721
33	1844	442626
34	1889	440334
35	1935	438401
36	1975	435327
37	2017	433004
38	2060	430708
39	2117	431572
40	2158	429195
41	2198	426602
42	2242	425007
43	2284	423037
44	2326	421235
45	2369	419624
46	2396	415366
47	2447	415281
48	2496	414909
49	2544	414311
50	2587	412972
51	2630	411712
52	2670	410128
53	2719	409858
54	2772	410252
55	2823	410176
56	2871	409843
57	2920	409505
58	2968	409177
59	3013	408400
60	3058	407635
61	3101	406752
62	3144	405762
63	3189	405069
64	3232	404207
65	3281	403983
66	3326	403441
67	3367	402370
68	3416	402153
69	3463	401879
70	3511	401690
71	3560	401494
72	3599	400350
73	3643	399728
74	3686	398975
75	3729	398314
76	3775	397937
77	3822	397642
78	3864	396897
79	3905	396031
80	3945	395115
81	3992	394872
82	4034	394203
83	4077	393607
84	4125	393487
85	4167	392857
86	4217	392938
87	4259	392295
88	4304	391892
89	4350	391617
90	4403	392019
91	4454	392147
92	4504	392277
93	4559	392804
94	4606	392657
95	4653	392447
96	4693	391672
97	4733	390958
98	4776	390455
99	4820	390100
100	4865	389791
101	4907	389261
102	4948	388649
103	4996	388602
104	5046	388640
105	5089	388264
106	5133	387891
107	5179	387683
108	5226	387560
109	5276	387646
110	5327	387868
111	5380	388128
112	5455	390008
113	5517	390978
114	5563	390717
115	5606	390326
116	5648	389872
117	5693	389598
118	5732	388899
119	5773	388364
120	5816	388004
121	5856	387361
122	5899	386992
123	5940	386541
124	5984	386236
125	6030	386050
126	6080	386166
127	6124	385842
128	6169	385611
129	6214	385397
130	6259	385194
131	6313	385502
132	6359	385326
133	6413	385666
134	6465	385895
135	6520	386252
136	6574	386523
137	6616	386155
138	6664	386130
139	6710	385927
140	6758	385929
141	6807	385937
142	6855	385892
143	6903	385828
144	6951	385804
145	7002	385924
146	7050	385865
147	7104	386142
148	7158	386420
149	7209	386518
150	7266	386978
151	7317	387055
152	7374	387455
153	7429	387764
154	7492	388495
155	7545	388697
156	7598	388891
157	7647	388879
158	7694	388766
159	7741	388599
160	7785	388375
161	7832	388237
162	7882	388293
163	7931	388261
164	7983	388380
165	8036	388536
166	8088	388699
167	8140	388822
168	8191	388884
169	8234	388593
170	8279	388361
171	8327	388296
172	8376	388278
173	8428	388370
174	8492	389066
