TransactionID,DeviceType,DeviceInfo,id_01,id_02,id_03,id_04,id_05,id_06,id_07,id_08,id_09,id_10,id_11
1123782,mobile,Infinix,,-1.3769,-0.0246,-0.8358,,,1.4838,-0.4458,-0.0588,0.5847,
1040426,desktop,MacOS,,0.9175,0.7894,1.4948,,,-1.0859,,,-0.237,
1041900,mobile,Xiaomi,1.3278,0.8248,0.9588,0.174,1.1249,,1.448,,0.2069,-1.1437,0.4337
1005782,mobile,Infinix,-0.1219,0.5913,0.7865,,0.5761,,-1.9659,,0.2555,0.173,-1.3689
1013484,mobile,,0.6836,1.1593,,0.3451,-1.5522,,,-0.1869,,,
1117540,mobile,Trident/7.0,-0.3184,-0.5207,1.5881,0.2882,-0.491,-1.4271,-0.3855,,,-0.7646,-0.205
1112887,mobile,Huawei,,-0.9149,,,-0.1923,0.7527,,-0.8359,,,
1004879,mobile,samsung,1.3489,-0.8909,0.8236,,,-0.3515,0.7667,,0.8844,1.4445,0.2253
1044966,mobile,Windows,-0.5748,-1.2451,,,0.1524,-0.366,0.0425,-0.5091,0.8668,-1.0961,-1.6458
1037719,desktop,rv:11.0,0.8247,2.054,-1.0483,0.8165,,-1.136,,2.1946,,,1.8259
1013279,mobile,rv:11.0,,,0.1559,1.0794,,1.596,,0.4733,0.0565,1.1158,0.369
1062518,mobile,rv:11.0,,,,1.5954,0.4375,,-2.4945,-0.3197,1.7786,,0.3955
1128847,mobile,Huawei,0.5695,0.5297,0.6744,0.0264,0.121,,,,,,-1.456
1113370,mobile,iOS Device,,0.1326,-1.4596,-0.1448,-0.9312,,-0.197,,0.6572,,
1058783,mobile,MacOS,0.3649,,-1.6379,,,-0.424,-0.7282,-0.1319,,-0.4126,1.107
1028113,mobile,Infinix,-1.0833,0.495,-0.2001,-0.8651,1.0871,0.4963,0.2307,0.4279,,0.0874,
1132209,mobile,rv:11.0,,-0.1259,-0.6906,-0.2193,0.1356,0.2127,,0.0926,-1.501,0.6068,-0.2535
1117753,mobile,Infinix,-0.8588,,1.2164,0.7298,-0.4858,,,,0.5736,,0.7832
1055959,mobile,Pixel,0.722,,,,-0.7588,-0.0493,,-0.6723,-0.7469,-0.6241,
1159210,mobile,Infinix,-0.4515,1.7693,0.3598,,-0.5445,-1.2407,0.8462,,,,
1046730,desktop,iOS Device,2.0349,-2.7449,0.3715,0.1775,-2.5495,,,0.5055,,0.744,
